login,name,location,created_at,followers,repositories
Colt,Colt Steele,,N/A,8363,166
alineai18,Aline Angela Ibers,Brazil,N/A,8355,4
996icu,,,N/A,8330,1
twostraws,Paul Hudson,"Bath, UK",N/A,8328,72
eddiejaoude,Eddie Jaoude,"London, UK",N/A,8328,115
pjhyett,PJ Hyett,San Francisco,N/A,8308,8
liaohuqiu,Huqiu Liao,Hangzhou,N/A,8308,125
AbdeenM,Abdeen Mohamed,"Lefkosa, Cyprus",N/A,8290,8
justmarkham,Kevin Markham,"Asheville, NC, USA",N/A,8251,44
chokcoco,Coco,"ShenZhen, China",N/A,8246,67
ahmetb,Ahmet Alp Balkan,"Seattle, WA",N/A,8215,225
koush,Koushik Dutta,"Seattle, WA",N/A,8212,367
daneden,Daniel Eden,"London, UK",N/A,8169,106
swisskyrepo,Swissky,,N/A,8138,17
fengmk2,fengmk2,"Hangzhou, China",N/A,8120,243
stefanprodan,Stefan Prodan,,N/A,8112,105
jamesmontemagno,James Montemagno,Pacific Northwest,N/A,8075,405
mercyblitz,Mercy Ma,"Hangzhou, China",N/A,8065,56
lilianweng,Lilian,,N/A,8064,23
cusspvz,José Moreira,"Póvoa de Varzim, Porto, Portugal",N/A,8063,182
wcandillon,William Candillon,Zürich,N/A,8056,179
brendangregg,Brendan Gregg,"Sydney, Australia",N/A,8024,46
dtolnay,David Tolnay,"Redwood City, California",N/A,8021,123
cyanharlow,Diana Smith,"SF Bay, CA",N/A,8019,16
BilgisayarKavramlari,Sadi Evren SEKER,,N/A,8012,14
AntonioErdeljac,Antonio Erdeljac,"Zagreb, Croatia",N/A,7996,106
sudheerj,Sudheer Jonna,,N/A,7989,71
rovo89,Robert Vollmer,,N/A,7986,54
drakeet,Drakeet,"Suzhou, China",N/A,7969,25
dataprofessor,Chanin Nantasenamat,Thailand,N/A,7967,256
rengwuxian,Kai Zhu,"Zhengzhou, China",N/A,7959,65
amitshekhariitbhu,AMIT SHEKHAR,"New Delhi, India",N/A,7953,104
jaywcjlove,小弟调调,"Suzhou, China",N/A,7928,209
vinta,Vinta Chen,Taiwan,N/A,7909,23
springframeworkguru,John Thompson,"Tampa Bay, Florida",N/A,7859,216
DeborahK,Deborah Kurata,"San Francisco/Silicon Valley, CA",N/A,7816,88
FiloSottile,Filippo Valsorda,"Rome, Italy",N/A,7790,121
jhcloos,James Cloos,,N/A,7785,14
junegunn,Junegunn Choi,,N/A,7779,151
algorithmzuo,左程云,,N/A,7779,16
cami-la,Camila Cavalcante,"Pernambuco, Brazil",N/A,7734,170
ryanb,Ryan Bates,Southern Oregon,N/A,7717,80
kamilmysliwiec,Kamil Mysliwiec,Poland,N/A,7702,61
remy,Remy Sharp,"Brighton, UK",N/A,7700,361
Yangqing,Yangqing Jia,Berkeley,N/A,7699,55
Germey,Germey,United States of America,N/A,7687,233
CarGuo,Shuyu Guo,China 广东 珠海,N/A,7632,57
drkostas,Kostas Georgiou,,N/A,7607,54
andrewrk,Andrew Kelley,"Portland, Oregon",N/A,7603,269
felipefialho,Felipe Fialho,Sao Paulo - Brazil,N/A,7595,41
liuyubobobo,Yubo Liu,USA / China,N/A,7568,35
nahamsec,Ben Sadeghipour,,N/A,7508,24
fazt,Fazt,,N/A,7506,273
PKUFlyingPig,Yinmin Zhong,"Beijing, China",N/A,7424,87
aplus-developer,Aplus Developer,Internet,N/A,7421,7
zcbenz,Cheng,Japan,N/A,7408,53
youngyangyang04,程序员Carl,Shenzhen,N/A,7408,48
maxschwarzmueller,Maximilian Schwarzmüller,Germany,N/A,7408,12
nunomaduro,Nuno Maduro,Portugal,N/A,7381,269
shradha-khapra,Shradha Khapra,"New Delhi,India",N/A,7366,20
mxcl,Max Howell,"Apex, NC, USA",N/A,7365,64
singwhatiwanna,singwhatiwanna,"Beijing, China",N/A,7344,27
UberGuidoZ,UberGuidoZ,Everywhere and nowhere,N/A,7342,86
davidbombal,David Bombal,UK,N/A,7340,18
sebastianbergmann,Sebastian Bergmann,"Siegburg, Germany",N/A,7322,81
jtleek,Jeff L.,"Seattle, WA",N/A,7303,173
satya-nutella,,/dev/null,N/A,7283,109
LaravelDaily,Laravel Daily,"Vilnius, Lithuania / London, UK",N/A,7282,362
rdpeng,Roger D. Peng,,N/A,7277,110
ip681,Ivo Petkov,"Sofia, Bulgaria",N/A,7271,17
luizomf,Luiz Otávio,"Boa Esperança, MG, Brazil",N/A,7270,99
skyzh,Alex Chi Z.,"Pittsburgh, PA, USA ⇌ Shanghai, China",N/A,7257,237
dabit3,Nader Dabit,"Madison, Mississippi",N/A,7257,458
zloirock,Denis Pushkarev,,N/A,7256,11
willianjusten,Willian Justen ,✈️,N/A,7254,118
JohnSundell,John Sundell,"Gdansk, Poland",N/A,7247,68
rsms,Rasmus,San Francisco,N/A,7224,182
nihui,,Shanghai,N/A,7193,185
Shehab-Hegab,Shehab-Hegab ,eygpt,N/A,7192,129
blocage,David,,N/A,7186,5
tangqiaoboy,Tang Qiao,"Beijing, China",N/A,7177,44
Huxpro,Xuan Huang (黄玄),"[NY, CA, ...China]",N/A,7125,89
ljharb,Jordan Harband,"Hillsborough, CA",N/A,7117,496
safak,Safak,,N/A,7115,35
overtrue,安正超,"Shenzhen,China",N/A,7111,110
ashishpatel26,Ashish Patel,Ahmedabad,N/A,7104,1943
Jinjiang,Jinjiang,Singapore,N/A,7096,82
mjackson,Michael Jackson,"Carlsbad, California",N/A,7089,205
mschwarzmueller,Maximilian ,,N/A,7088,47
afc163,afc163,"Hangzhou, China",N/A,7064,277
rrousselGit,Remi Rousselet,,N/A,7062,74
Alvin9999,自由上网,,N/A,7057,122
rougier,Nicolas P. Rougier,"Bordeaux, France",N/A,7021,318
jskeet,Jon Skeet,"London, UK",N/A,7015,103
V1nni00,Vinay Kumar,India,N/A,7001,0
mitchtabian,Mitch Tabian,,N/A,6982,177
crnacura,Manoela Ilic,"Portimão, Portugal",N/A,6981,109
dalindev,Dalin Huang,"Ottawa, Earth #7",N/A,6979,37
oldratlee,李鼎,"Shanghai ⇌ Hangzhou Zhejiang, China",N/A,6976,63
